mode,name,kp_scale,kd_scale,task_kp,time_scale,use_task_pid,use_wrist_pid,sim_time,risk_integral,tilt_integral,reach_integral,score
full_body_only,0,0.8,0.8,0.4,0.5,True,False,11.2000,318786.486304,192.760971,0.291161,153493357.650621
full_body_only,1,0.8,0.8,0.4,1.0,True,False,5.6020,153921.198625,95.805903,0.249912,74943123.764364
full_body_only,2,0.8,0.8,0.4,1.5,True,False,3.7340,103112.336413,63.802449,0.228731,50097310.140366
full_body_only,3,0.8,0.8,0.4,2.0,True,False,2.8020,77000.575999,47.946328,0.211193,37505191.639177
full_body_only,4,0.8,0.8,0.6,0.5,True,False,11.2000,321162.189994,192.915465,0.274107,154250711.570918
full_body_only,5,0.8,0.8,0.6,1.0,True,False,5.6020,154713.407140,96.058818,0.237718,75255441.435395
full_body_only,6,0.8,0.8,0.6,1.5,True,False,3.7340,104099.488769,64.037970,0.217391,50462978.181501
full_body_only,7,0.8,0.8,0.6,2.0,True,False,2.8020,76912.927606,48.115291,0.202083,37528674.899206
full_body_only,8,0.8,1.0,0.4,0.5,True,False,11.2000,321176.920518,193.554868,0.356196,154455160.551130
full_body_only,9,0.8,1.0,0.4,1.0,True,False,5.6020,164173.677658,96.080319,0.303205,78106521.600566
full_body_only,10,0.8,1.0,0.4,1.5,True,False,3.7340,105591.256184,63.959608,0.274994,50892760.160864
full_body_only,11,0.8,1.0,0.4,2.0,True,False,2.8020,75652.643234,47.818928,0.250115,37066484.185110
full_body_only,12,0.8,1.0,0.6,0.5,True,False,11.2000,322911.276518,193.788000,0.333098,155043097.363476
full_body_only,13,0.8,1.0,0.6,1.0,True,False,5.6020,162350.511043,96.349127,0.285091,77638402.637860
full_body_only,14,0.8,1.0,0.6,1.5,True,False,3.7340,105851.630168,64.197254,0.259992,51040665.979531
full_body_only,15,0.8,1.0,0.6,2.0,True,False,2.8020,79536.129315,47.993246,0.237753,38282588.913847
full_body_only,16,0.8,1.2,0.4,0.5,True,False,11.2000,316331.946196,194.595984,0.406586,153319042.033823
full_body_only,17,0.8,1.2,0.4,1.0,True,False,5.6020,161783.584819,96.359848,0.353395,77478371.646397
full_body_only,18,0.8,1.2,0.4,1.5,True,False,3.7340,105760.432003,64.136005,0.314693,51000401.840353
full_body_only,19,0.8,1.2,0.4,2.0,True,False,2.8020,77749.142815,47.987191,0.282606,37749161.896286
full_body_only,20,0.8,1.2,0.6,0.5,True,False,11.2000,319464.914351,194.618348,0.385954,154263578.679068
full_body_only,21,0.8,1.2,0.6,1.0,True,False,5.6020,162530.446697,96.631180,0.332034,77781693.670279
full_body_only,22,0.8,1.2,0.6,1.5,True,False,3.7340,105447.456070,64.426989,0.299058,50992240.830356
full_body_only,23,0.8,1.2,0.6,2.0,True,False,2.8020,75341.937494,48.172051,0.270280,37081225.661927
full_body_only,24,1.0,0.8,0.4,0.5,True,False,11.2000,323713.235882,187.605752,0.231460,153418846.815894
full_body_only,25,1.0,0.8,0.4,1.0,True,False,5.6020,156149.818276,93.538673,0.205081,74927057.743732
full_body_only,26,1.0,0.8,0.4,1.5,True,False,3.7340,102754.947162,62.258098,0.187902,49522705.219854
full_body_only,27,1.0,0.8,0.4,2.0,True,False,2.8020,76982.502537,46.889475,0.175991,37179193.436737
full_body_only,28,1.0,0.8,0.6,0.5,True,False,11.2000,316434.118045,188.009700,0.223538,151355503.764044
full_body_only,29,1.0,0.8,0.6,1.0,True,False,5.6020,155627.523582,93.789375,0.193256,74844397.319332
full_body_only,30,1.0,0.8,0.6,1.5,True,False,3.7340,104376.203135,62.626009,0.177065,50118371.716166
full_body_only,31,1.0,0.8,0.6,2.0,True,False,2.8020,80657.730016,47.058490,0.166298,38331496.890549
full_body_only,32,1.0,1.0,0.4,0.5,True,False,11.2000,328399.032373,188.406538,0.276111,155069286.750081
full_body_only,33,1.0,1.0,0.4,1.0,True,False,5.6020,159076.874945,93.600797,0.247466,75828050.332738
full_body_only,34,1.0,1.0,0.4,1.5,True,False,3.7340,105250.054291,62.296365,0.226010,50286528.341003
full_body_only,35,1.0,1.0,0.4,2.0,True,False,2.8020,76993.255871,46.868339,0.209444,37179423.968981
full_body_only,36,1.0,1.0,0.6,0.5,True,False,11.2000,321156.232873,188.389464,0.266063,152890319.755342
full_body_only,37,1.0,1.0,0.6,1.0,True,False,5.6020,160931.956325,93.882471,0.232620,76467592.291519
full_body_only,38,1.0,1.0,0.6,1.5,True,False,3.7340,105062.746899,62.623262,0.213953,50327199.467116
full_body_only,39,1.0,1.0,0.6,2.0,True,False,2.8020,79156.384987,47.143170,0.200074,37909874.952063
full_body_only,40,1.0,1.2,0.4,0.5,True,False,11.2000,322609.174107,188.737752,0.328239,153436906.186310
full_body_only,41,1.0,1.2,0.4,1.0,True,False,5.6020,163501.806700,93.816324,0.287952,77224236.671696
full_body_only,42,1.0,1.2,0.4,1.5,True,False,3.7340,107684.084193,62.499880,0.263214,51081512.000030
full_body_only,43,1.0,1.2,0.4,2.0,True,False,2.8020,78795.660268,46.890181,0.239712,37729724.742182
full_body_only,44,1.0,1.2,0.6,0.5,True,False,11.2000,319620.516910,189.226420,0.308650,152684950.450170
full_body_only,45,1.0,1.2,0.6,1.0,True,False,5.6020,159701.631036,94.242514,0.272167,76210462.440500
full_body_only,46,1.0,1.2,0.6,1.5,True,False,3.7340,107968.942413,62.826983,0.249231,51263702.335978
full_body_only,47,1.0,1.2,0.6,2.0,True,False,2.8020,80210.159919,47.068232,0.230060,38206524.729287
full_body_only,48,1.2,0.8,0.4,0.5,True,False,11.2000,325416.348978,184.359399,0.195342,152952263.073939
full_body_only,49,1.2,0.8,0.4,1.0,True,False,5.6020,157365.984111,91.917817,0.170401,74802182.571183
full_body_only,50,1.2,0.8,0.4,1.5,True,False,3.7340,109587.140912,61.331851,0.158789,51291578.054245
full_body_only,51,1.2,0.8,0.4,2.0,True,False,2.8020,78864.080870,46.108315,0.149240,37506643.835257
full_body_only,52,1.2,0.8,0.6,0.5,True,False,11.2000,315506.155307,184.527540,0.184649,150028578.094917
full_body_only,53,1.2,0.8,0.6,1.0,True,False,5.6020,157134.031164,92.197128,0.159914,74815341.258359
full_body_only,54,1.2,0.8,0.6,1.5,True,False,3.7340,107780.905273,61.536326,0.149178,50810088.717544
full_body_only,55,1.2,0.8,0.6,2.0,True,False,2.8020,79886.103354,46.399586,0.141789,37899886.769627
full_body_only,56,1.2,1.0,0.4,0.5,True,False,11.2000,329788.063538,184.767516,0.235115,154390189.787663
full_body_only,57,1.2,1.0,0.4,1.0,True,False,5.6020,160831.418731,92.040786,0.207133,75882376.978293
full_body_only,58,1.2,1.0,0.4,1.5,True,False,3.7340,106413.378040,61.258588,0.191619,50320753.145298
full_body_only,59,1.2,1.0,0.4,2.0,True,False,2.8020,79478.296682,46.192899,0.179587,37719318.712908
full_body_only,60,1.2,1.0,0.6,0.5,True,False,11.2000,321651.375838,185.087267,0.220116,152043609.057757
full_body_only,61,1.2,1.0,0.6,1.0,True,False,5.6020,163806.507295,92.270484,0.195580,76842657.727234
full_body_only,62,1.2,1.0,0.6,1.5,True,False,3.7340,105258.722159,61.585680,0.182047,50071526.846468
full_body_only,63,1.2,1.0,0.6,2.0,True,False,2.8020,81833.910684,46.318738,0.171222,38462918.083387
full_body_only,64,1.2,1.2,0.4,0.5,True,False,11.2000,320108.559030,185.149452,0.274207,151604828.320322
full_body_only,65,1.2,1.2,0.4,1.0,True,False,5.6020,159258.512556,92.083903,0.242483,75426975.079138
full_body_only,66,1.2,1.2,0.4,1.5,True,False,3.7340,105644.180293,61.507368,0.225183,50167984.367926
full_body_only,67,1.2,1.2,0.4,2.0,True,False,2.8020,79788.386259,46.182135,0.206906,37811848.176520
full_body_only,68,1.2,1.2,0.6,0.5,True,False,11.2000,323886.063809,185.513731,0.262523,152846195.093480
full_body_only,69,1.2,1.2,0.6,1.0,True,False,5.6020,161030.287454,92.443177,0.228884,76064929.948699
full_body_only,70,1.2,1.2,0.6,1.5,True,False,3.7340,106028.886532,61.611697,0.211143,50313290.776790
full_body_only,71,1.2,1.2,0.6,2.0,True,False,2.8020,78803.778622,46.413636,0.198426,37585067.947919
full_body,0,0.8,0.8,0.4,0.5,True,True,11.2000,309521.833659,37.357635,1.143812,104178226.416611
full_body,1,0.8,0.8,0.4,1.0,True,True,5.6020,154761.578833,19.195647,0.631742,52250344.244890
full_body,2,0.8,0.8,0.4,1.5,True,True,3.7340,104693.345559,13.186299,0.461053,35410000.340464
full_body,3,0.8,0.8,0.4,2.0,True,True,2.8020,77839.429659,10.181704,0.371402,26443481.551246
full_body,4,0.8,0.8,0.6,0.5,True,True,11.2000,306760.210128,39.251064,1.093522,103912738.783828
full_body,5,0.8,0.8,0.6,1.0,True,True,5.6020,156748.442802,20.205148,0.604322,53146511.694283
full_body,6,0.8,0.8,0.6,1.5,True,True,3.7340,107371.724805,13.835221,0.439960,36406081.366672
full_body,7,0.8,0.8,0.6,2.0,True,True,2.8020,77123.992380,10.677211,0.357377,26376099.832177
full_body,8,0.8,1.0,0.4,0.5,True,True,11.2000,307125.595838,37.771434,1.168764,103585989.938222
full_body,9,0.8,1.0,0.4,1.0,True,True,5.6020,154856.906956,19.576235,0.662206,52396165.576769
full_body,10,0.8,1.0,0.4,1.5,True,True,3.7340,104850.206003,13.490923,0.493576,35551697.749160
full_body,11,0.8,1.0,0.4,2.0,True,True,2.8020,77382.899530,10.474031,0.402559,26397336.037616
full_body,12,0.8,1.0,0.6,0.5,True,True,11.2000,314778.032232,39.696326,1.116699,106453981.856344
full_body,13,0.8,1.0,0.6,1.0,True,True,5.6020,159717.923718,20.491524,0.632094,54126045.883252
full_body,14,0.8,1.0,0.6,1.5,True,True,3.7340,105743.688316,14.155551,0.469227,36016696.096275
full_body,15,0.8,1.0,0.6,2.0,True,True,2.8020,76806.700169,10.984456,0.384928,26375840.697532
full_body,16,0.8,1.2,0.4,0.5,True,True,11.2000,307741.371906,38.188916,1.191580,103898248.773558
full_body,17,0.8,1.2,0.4,1.0,True,True,5.6020,160642.221136,19.875196,0.694092,54224636.540944
full_body,18,0.8,1.2,0.4,1.5,True,True,3.7340,101762.198593,13.792320,0.520327,34718389.699972
full_body,19,0.8,1.2,0.4,2.0,True,True,2.8020,74960.304158,10.731500,0.426875,25750229.940985
full_body,20,0.8,1.2,0.6,0.5,True,True,11.2000,315621.265751,40.156670,1.145224,106847907.578628
full_body,21,0.8,1.2,0.6,1.0,True,True,5.6020,155170.225384,20.889797,0.668563,52884865.309818
full_body,22,0.8,1.2,0.6,1.5,True,True,3.7340,103184.536190,14.459036,0.498818,35342954.924915
full_body,23,0.8,1.2,0.6,2.0,True,True,2.8020,76027.930158,11.239001,0.411663,26221246.791641
full_body,24,1.0,0.8,0.4,0.5,True,True,11.2000,305324.834040,35.911151,1.085840,102479384.014887
full_body,25,1.0,0.8,0.4,1.0,True,True,5.6020,155282.007213,18.402060,0.588610,52164083.543194
full_body,26,1.0,0.8,0.4,1.5,True,True,3.7340,100247.067850,12.596008,0.424937,33895418.082374
full_body,27,1.0,0.8,0.4,2.0,True,True,2.8020,76227.952790,9.703616,0.342084,25813680.134259
full_body,28,1.0,0.8,0.6,0.5,True,True,11.2000,312173.790142,37.805438,1.036578,105097430.606058
full_body,29,1.0,0.8,0.6,1.0,True,True,5.6020,157064.246802,19.369364,0.563724,52986458.006495
full_body,30,1.0,0.8,0.6,1.5,True,True,3.7340,106305.384273,13.231580,0.405862,35901677.101325
full_body,31,1.0,0.8,0.6,2.0,True,True,2.8020,78043.163268,10.162836,0.326777,26494478.462587
full_body,32,1.0,1.0,0.4,0.5,True,True,11.2000,308360.025629,36.231967,1.107680,103488370.124484
full_body,33,1.0,1.0,0.4,1.0,True,True,5.6020,162615.557469,18.665235,0.613971,54445636.950351
full_body,34,1.0,1.0,0.4,1.5,True,True,3.7340,111997.936810,12.825127,0.451069,37492027.423055
full_body,35,1.0,1.0,0.4,2.0,True,True,2.8020,78647.572234,9.939464,0.364862,26612598.117393
full_body,36,1.0,1.0,0.6,0.5,True,True,11.2000,317870.067585,38.147430,1.058348,106911088.479029
full_body,37,1.0,1.0,0.6,1.0,True,True,5.6020,159361.245113,19.627133,0.587443,53755260.010659
full_body,38,1.0,1.0,0.6,1.5,True,True,3.7340,102863.857263,13.462186,0.430332,34940847.756726
full_body,39,1.0,1.0,0.6,2.0,True,True,2.8020,79891.751658,10.404184,0.350951,27123876.841948
full_body,40,1.0,1.2,0.4,0.5,True,True,11.2000,312155.007052,36.592437,1.128163,104737054.075134
full_body,41,1.0,1.2,0.4,1.0,True,True,5.6020,159592.726834,18.935351,0.640369,53622462.349030
full_body,42,1.0,1.2,0.4,1.5,True,True,3.7340,103842.032687,13.090279,0.474581,35127153.120447
full_body,43,1.0,1.2,0.4,2.0,True,True,2.8020,76924.218134,10.151892,0.389026,26161736.845568
full_body,44,1.0,1.2,0.6,0.5,True,True,11.2000,321859.340490,38.474594,1.073767,108207561.618787
full_body,45,1.0,1.2,0.6,1.0,True,True,5.6020,158561.261230,19.943484,0.613953,53612821.111926
full_body,46,1.0,1.2,0.6,1.5,True,True,3.7340,108716.670922,13.689913,0.455550,36767531.679798
full_body,47,1.0,1.2,0.6,2.0,True,True,2.8020,77296.495960,10.658819,0.374079,26424003.561889
full_body,48,1.2,0.8,0.4,0.5,True,True,11.2000,303020.361193,35.000412,1.048767,101511113.201997
full_body,49,1.2,0.8,0.4,1.0,True,True,5.6020,161442.546177,17.873794,0.561170,53851021.338651
full_body,50,1.2,0.8,0.4,1.5,True,True,3.7340,106343.693489,12.195120,0.399508,35601596.222193
full_body,51,1.2,0.8,0.4,2.0,True,True,2.8020,77984.508962,9.366399,0.318564,26237129.938778
full_body,52,1.2,0.8,0.6,0.5,True,True,11.2000,316719.639994,36.863042,1.002958,106175104.687655
full_body,53,1.2,0.8,0.6,1.0,True,True,5.6020,154110.624070,18.826764,0.537679,51934986.401936
full_body,54,1.2,0.8,0.6,1.5,True,True,3.7340,104774.773725,12.821359,0.383050,35317146.428713
full_body,55,1.2,0.8,0.6,2.0,True,True,2.8020,77677.024111,9.836486,0.305367,26284590.816079
full_body,56,1.2,1.0,0.4,0.5,True,True,11.2000,315621.629200,35.230365,1.063514,105361954.004071
full_body,57,1.2,1.0,0.4,1.0,True,True,5.6020,160936.155531,18.069993,0.580803,53759926.991718
full_body,58,1.2,1.0,0.4,1.5,True,True,3.7340,106025.907391,12.380257,0.420885,35563939.396971
full_body,59,1.2,1.0,0.4,2.0,True,True,2.8020,75421.235238,9.588109,0.340479,25536852.310934
full_body,60,1.2,1.0,0.6,0.5,True,True,11.2000,321635.467124,37.096503,1.017268,107721322.486734
full_body,61,1.2,1.0,0.6,1.0,True,True,5.6020,160229.143919,19.030387,0.557750,53833636.570424
full_body,62,1.2,1.0,0.6,1.5,True,True,3.7340,106633.937650,13.011379,0.403562,35933952.656225
full_body,63,1.2,1.0,0.6,2.0,True,True,2.8020,77403.421068,10.019137,0.325673,26259335.709128
full_body,64,1.2,1.2,0.4,0.5,True,True,11.2000,319813.946992,35.530462,1.079766,106711303.681370
full_body,65,1.2,1.2,0.4,1.0,True,True,5.6020,158673.771166,18.343531,0.601445,53165337.404027
full_body,66,1.2,1.2,0.4,1.5,True,True,3.7340,105718.529562,12.602947,0.442250,35540669.304285
full_body,67,1.2,1.2,0.4,2.0,True,True,2.8020,77356.343113,9.759205,0.361924,26170857.970108
full_body,68,1.2,1.2,0.6,0.5,True,True,11.2000,319330.827320,37.355440,1.032626,107109147.259652
full_body,69,1.2,1.2,0.6,1.0,True,True,5.6020,163541.885902,19.250705,0.577644,54895543.864554
full_body,70,1.2,1.2,0.6,1.5,True,True,3.7340,106388.882298,13.235457,0.425465,35929849.716698
full_body,71,1.2,1.2,0.6,2.0,True,True,2.8020,81286.002015,10.222631,0.345928,27487183.852900
